수준,동형어번호,표출 어휘
초급,0,결과
중급,0,결국02/결국01
중급,0,결근
고급,0,결단
고급,0,결단력
중급,0,결론
고급,0,결말
고급,0,결별
고급,0,결부00
고급,0,결산
초급,0,결석
고급,0,결선
고급,0,결성
고급,0,결속
중급,0,결승
고급,0,결승선
고급,0,결승전
고급,0,결실
초급,0,결심
고급,0,결여
고급,0,결의01
고급,0,결의02
고급,0,결재
고급,0,결점
초급,0,결정01
고급,0,결정적01/결정적02
고급,0,결정짓다
중급,0,결제
중급,0,결코
고급,0,결핍
고급,0,결함
중급,0,결합
초급,0,결혼
초급,0,결혼식
중급,0,결혼식장
고급,0,겸
중급,0,겸손
고급,0,겸하다
고급,0,겸허
고급,0,겹
중급,0,겹치다
고급,0,-경01
고급,0,경각심
고급,0,경건하다
중급,0,경계01
고급,0,경계02
중급,0,경고
고급,0,경고문
고급,0,경공업
고급,0,경과
고급,0,경관
중급,0,경기01
초급,0,경기02
중급,0,경기장
중급,0,경력
고급,0,경련
고급,0,경로02
고급,0,경매
고급,0,경멸
고급,0,경보01
중급,0,경복궁
중급,0,경비01
고급,0,경비02
중급,0,경비실
고급,0,경사01
고급,0,경솔하다
고급,0,경시
고급,0,경악
고급,0,경연
중급,0,경영
고급,0,경영진
고급,0,경영학
중급,0,경우
고급,0,경위02
고급,0,경유01
고급,0,경이롭다
중급,0,경쟁
중급,0,경쟁력
고급,0,경쟁률
고급,0,경쟁자
고급,0,경쟁적01/경쟁적02
고급,0,경전
중급,0,경제
고급,0,경제권01
중급,0,경제력
고급,0,경제성
중급,0,경제적01/경제적02
고급,0,경제학
고급,0,경조사
고급,0,경주02
고급,0,경지
고급,0,경직
초급,0,경찰
중급,0,경찰관
초급,0,경찰서
고급,0,경찰청
고급,0,경청
초급,0,경치
고급,0,경쾌하다
고급,0,경품
중급,0,경향
초급,0,경험
고급,0,경험담
고급,0,경호
중급,0,곁01
고급,0,곁눈질
고급,0,곁들이다
고급,0,계00
고급,0,-계01
고급,0,-계04
중급,0,계곡
고급,0,계급
중급,0,계기01
초급,0,계단
초급,0,계란
고급,0,계발
초급,0,계산
중급,0,계산기
중급,0,계산대
초급,0,계속02/계속01
고급,0,계승
초급,0,계시다01
중급,0,계약
중급,0,계약금
고급,0,계열
초급,0,계절
중급,0,계좌
중급,0,계층
고급,0,계통
초급,0,계획
고급,0,계획적01/계획적02
고급,0,고00
고급,0,고02
고급,0,고-02
고급,0,고가02
고급,0,고가품
고급,0,고갈01
초급,0,고개01
고급,0,고개02
중급,0,고객
고급,0,고교생
고급,0,고구려
중급,0,고구마
중급,0,고국
중급,0,고궁
고급,0,고귀하다
중급,0,고급
중급,0,고급스럽다
초급,0,고기01
고급,0,고기압
고급,0,고기잡이
고급,0,고난
고급,0,고다
고급,0,고단하다
고급,0,고달프다
중급,0,고대01
고급,0,고대01 중세 근대
고급,0,고도00
중급,0,고독
고급,0,고되다
중급,0,고등
중급,0,고등어
초급,0,고등학교
초급,0,고등학생
중급,0,고래01
중급,0,고려01
고급,0,고려02
고급,0,고령
고급,0,고령화
고급,0,고루
초급,0,고르다01
고급,0,고르다03
고급,0,고리01
고급,0,고립
중급,0,고마워하다
초급,0,고맙다01
초급,0,고모
중급,0,고무01
고급,0,고무신
초급,0,고민
고급,0,고발
중급,0,고백
고급,0,고비
고급,0,고사하다00
고급,0,고상하다
중급,0,고생
고급,0,고생스럽다
고급,0,고소01
고급,0,고소득
중급,0,고소하다01
중급,0,고속
초급,0,고속버스
고급,0,고수01
고급,0,고스란히
고급,0,고심
고급,0,고아
고급,0,고아원
고급,0,고안
고급,0,고약하다
초급,0,고양이
고급,0,고온
중급,0,고요
고급,0,고요히
고급,0,고용
고급,0,고용00
고급,0,고원
고급,0,고위
중급,0,고유
고급,0,고의
고급,0,고이다
고급,0,고인02
고급,0,고작01/고작02
중급,0,고장01
초급,0,고장02
중급,0,고전01
중급,0,고정
고급,0,고조02
고급,0,고졸
고급,0,고지서
고급,0,고진감래
중급,0,고집
고급,0,고찰
고급,0,고체
중급,0,고추
초급,0,고추장
중급,0,고춧가루
고급,0,고충
중급,0,고층
초급,0,고치다
중급,0,고통
중급,0,고통스럽다
초급,0,고프다
고급,0,고학력
고급,0,고함
초급,0,고향
고급,0,고혈압
중급,0,곡01
고급,0,곡물
고급,0,곡선
중급,0,곡식
고급,0,곤경
고급,0,곤궁
고급,0,곤두세우다
중급,0,곤란
고급,0,곤욕
고급,0,곤충
초급,0,곧
중급,0,곧다
중급,0,곧바로
중급,0,곧이어
중급,0,곧잘
중급,0,곧장
중급,0,골04
중급,0,골고루
중급,0,골다
고급,0,골대
고급,0,골동품
고급,0,골머리
중급,0,골목
중급,0,골목길
고급,0,골짜기
고급,0,골치
고급,0,골칫거리
중급,0,골프
고급,0,곪다
중급,0,곰
고급,0,곰곰이
고급,0,곰팡이
중급,0,곱다01
고급,0,곱슬머리
중급,0,곱하다
초급,0,곳
중급,0,곳곳
고급,0,공00
초급,0,공01
중급,0,공03
중급,0,공간
고급,0,공간적01/공간적02
중급,0,공감
고급,0,공감대
중급,0,공개
고급,0,공개적01/공개적02
중급,0,공격
고급,0,공경
고급,0,공고02
고급,0,공고문
중급,0,공공
고급,0,공공시설
고급,0,공공연하다
중급,0,공공장소
중급,0,공과금
고급,0,공교육
고급,0,공군
고급,0,공권력
중급,0,공급
중급,0,공기02
중급,0,공기03
중급,0,공동
중급,0,공동체
고급,0,공략
고급,0,공로
고급,0,공룡
고급,0,공립
고급,0,공모01
초급,0,공무원
고급,0,공문
고급,0,공방02
고급,0,공백
초급,0,공부
중급,0,공사01
고급,0,공사장
고급,0,공산주의
고급,0,공산품
고급,0,공상
고급,0,공세
중급,0,공손하다
중급,0,공식
고급,0,공식적01/공식적02
고급,0,공약01
중급,0,공업
중급,0,공연
중급,0,공연장
고급,0,공연히
고급,0,공예
고급,0,공용어
초급,0,공원02
고급,0,공유02
고급,0,공익01
초급,0,공장
중급,0,공적01/공적02
고급,0,공적03
고급,0,공정02
고급,0,공정성
고급,0,공존
중급,0,공주
고급,0,공중01
고급,0,공중02
고급,0,공중위생
중급,0,공중전화
중급,0,공지01
고급,0,공직
초급,0,공짜
초급,0,공책
고급,0,공터
중급,0,공통
고급,0,공통적01/공통적02
중급,0,공통점
고급,0,공평하다
고급,0,공포01
중급,0,공포02
고급,0,공포감
고급,0,공학01
초급,0,공항
중급,0,공해01
고급,0,공허하다
고급,0,공헌
초급,0,공휴일
고급,0,-과
고급,0,과01
중급,0,과02
고급,0,과감하다
고급,0,과감히
초급,0,과거02
고급,0,과격하다
고급,0,과녁
고급,0,과다
고급,0,과대평가
고급,0,과도하다
중급,0,과로
중급,0,과목
고급,0,과민
고급,0,과반수
고급,0,과보호
고급,0,과부
중급,0,과소비
고급,0,과소평가
중급,0,과속
고급,0,과시
중급,0,과식
고급,0,과언
중급,0,과연
고급,0,과열
중급,0,과외
고급,0,과음
초급,0,과일
고급,0,과잉
초급,0,과자
중급,0,과장02
중급,0,과장03
중급,0,과정01
고급,0,과정02
중급,0,과제
고급,0,과찬
고급,0,과하다01
중급,0,과학
중급,0,과학자
중급,0,과학적01/과학적02
고급,0,-관01
중급,0,-관02
고급,0,관03
중급,0,-관03
중급,0,관객
초급,0,관계02
중급,0,관계없다
중급,0,관계없이
중급,0,관계있다
중급,0,관계자
고급,0,관공서
초급,0,관광
초급,0,관광객
초급,0,관광지
고급,0,관념
고급,0,관대하다02
중급,0,관람
중급,0,관람객
중급,0,관련
고급,0,관련자
고급,0,관련짓다
고급,0,관례02
고급,0,관료
고급,0,관리01
중급,0,관리02
고급,0,관세
고급,0,관습
초급,0,관심
중급,0,관심사
고급,0,관여
고급,0,관용03
고급,0,관용어
고급,0,관용적01/관용적02
고급,0,관절
중급,0,관점
고급,0,관중
고급,0,관직
중급,0,관찰
고급,0,관청
고급,0,관측
고급,0,관하다
고급,0,관행
고급,0,관형사
고급,0,관혼상제
중급,0,광경
초급,0,광고
고급,0,광범위하다
고급,0,광복
고급,0,광부
고급,0,광업
고급,0,광장
초급,0,광주
고급,0,광활하다
초급,0,괜찮다
중급,0,괜히
중급,0,괴로움
중급,0,괴로워하다
중급,0,괴롭다
중급,0,괴롭히다
고급,0,괴물
중급,0,굉장하다
중급,0,굉장히
고급,0,교감01
고급,0,교과
초급,0,교과서
중급,0,교내
중급,0,교대01
고급,0,교도소
고급,0,교란
중급,0,교류
고급,0,교묘하다
고급,0,교무실
중급,0,교복
초급,0,교사03
고급,0,교섭
초급,0,교수
중급,0,교시01
초급,0,교실
중급,0,교양
중급,0,교외01
고급,0,교원
초급,0,교육
고급,0,교육부
중급,0,교육비
고급,0,교육열
중급,0,교육자
고급,0,교육적01/교육적02
중급,0,교장
중급,0,교재
고급,0,교정04
고급,0,교제
고급,0,교직
중급,0,교체
초급,0,교통
초급,0,교통비
초급,0,교통사고
중급,0,교통수단
중급,0,교통편
중급,0,교포
초급,0,교환
고급,0,교활하다
초급,0,교회
중급,0,교훈02
고급,0,교훈적01/교훈적02
초급,0,구01/구02
중급,0,구05
고급,0,구06
고급,0,구간01
고급,0,구걸
고급,0,구겨지다
초급,0,구경
중급,0,구경거리
고급,0,구경꾼
고급,0,구급차
고급,0,구기
고급,0,구기다
고급,0,구내식당
고급,0,구독
초급,0,구두01
고급,0,구두02
고급,0,구두쇠
중급,0,구르다01
고급,0,구르다02
초급,0,구름
중급,0,구매
고급,0,구매자
중급,0,구멍
고급,0,구박
중급,0,구별
중급,0,구부리다
중급,0,구분
고급,0,구불구불하다00/구불구불하다
고급,0,구비02
고급,0,구사
고급,0,구사일생
고급,0,구상02
중급,0,구석
고급,0,구석구석
중급,0,구성
고급,0,구성원
중급,0,구세대
중급,0,구속01
중급,0,구수하다
고급,0,구슬
고급,0,구실01
초급,0,구십01/구십02
고급,0,구애02
고급,0,구어
중급,0,구역
고급,0,구원
초급,0,구월
고급,0,구인01
고급,0,구인난
중급,0,구입
고급,0,구절
고급,0,구제01
중급,0,구조01
중급,0,구조02
고급,0,구조적01/구조적02
고급,0,구직
고급,0,구직난00
고급,0,구직자00
고급,0,구청
중급,0,구체적01/구체적02
고급,0,구체화
고급,0,구축
고급,0,구출
고급,0,구태여
고급,0,구태의연하다
고급,0,구토
중급,0,구하다01
중급,0,구하다02
고급,0,구형03
고급,0,구호01
고급,0,구호02
초급,0,국
고급,0,-국01
고급,0,-국02
중급,0,국가01
고급,0,국가적01/국가적02
고급,0,국경
중급,0,국경일
고급,0,국고
고급,0,국군
중급,0,국기
초급,0,국내
중급,0,국내선
고급,0,국내외
고급,0,국도
고급,0,국력
중급,0,국립
고급,0,국무총리
중급,0,국물
중급,0,국민
고급,0,국민적01/국민적02
고급,0,국방
고급,0,국방부
고급,0,국보
고급,0,국비
중급,0,국산
고급,0,국세청
초급,0,국수
고급,0,국악
중급,0,국어
고급,0,국왕
중급,0,국외
고급,0,국익
고급,0,국장01
초급,0,국적
고급,0,국정02
초급,0,국제
중급,0,국제결혼
중급,0,국제선
고급,0,국제적01/국제적02
중급,0,국제화
고급,0,국토
고급,0,국한
중급,0,국화02
중급,0,국회
고급,0,군01/군02
고급,0,군03
중급,0,군04
고급,0,군계일학
중급,0,군대
중급,0,군데
고급,0,군데군데01/군데군데02
고급,0,군밤
중급,0,군사01
초급,0,군인
고급,0,군중
중급,0,굳다01
중급,0,굳어지다
중급,0,굳이
고급,0,굳히다
중급,0,굴02
고급,0,굴곡
고급,0,굴다
고급,0,굴뚝
고급,0,굴러가다
고급,0,굴레
고급,0,굴리다
초급,0,굵다
중급,0,굶다
고급,0,굶주리다
고급,0,굶주림
중급,0,굽
초급,0,굽다01
중급,0,굽히다
고급,0,궁02
고급,0,궁궐
고급,0,궁극적01/궁극적02
고급,0,궁금증
초급,0,궁금하다
고급,0,궁리
고급,0,궁중
고급,0,궂다
초급,0,권
고급,0,-권01
고급,0,-권02
중급,0,-권03
고급,0,권고
중급,0,권력
중급,0,권리
중급,0,권위
고급,0,권위적01/권위적02
중급,0,권유
고급,0,권익
고급,0,권장
고급,0,권총
고급,0,권태
고급,0,권투
중급,0,권하다
고급,0,권한
고급,0,궤도
초급,0,귀01
중급,0,귀가
고급,0,귀감
초급,0,귀걸이
중급,0,귀국
고급,0,귀납적01/귀납적02
중급,0,귀신
초급,0,귀여워하다
초급,0,귀엽다
고급,0,귀족
중급,0,귀중하다
초급,0,귀찮다
고급,0,귀천01
중급,0,귀하01/귀하02
중급,0,귀하다
고급,0,귀향
고급,0,귓속말
중급,0,규모
고급,0,규범
고급,0,규율
중급,0,규정
고급,0,규제
초급,0,규칙
중급,0,규칙적01/규칙적02
고급,0,균
중급,0,균형
초급,0,귤
초급,0,그02/그01
고급,0,그간
초급,0,그거
초급,0,그것
초급,0,그곳
중급,0,그나마
고급,0,그나저나
초급,0,그날
초급,0,그냥
중급,0,그네01
중급,0,그녀
중급,0,그늘
중급,0,그다지
중급,0,그대
초급,0,그대로
초급,0,그동안
초급,0,그때
고급,0,그때그때00/그때그때
초급,0,그래01
중급,0,그래도
초급,0,그래서01
고급,0,그래야00
중급,0,그래프
중급,0,그램
중급,0,그러게02
초급,0,그러나01
초급,0,그러니까
중급,0,그러다
초급,0,그러면01
초급,0,그러므로
중급,0,그럭저럭
초급,0,그런01
중급,0,그런대로
초급,0,그런데01
초급,0,그럼01
초급,0,그럼03
초급,0,그렇다
중급,0,그렇지01
초급,0,그렇지만
중급,0,그룹
고급,0,그르다01/그르다02
초급,0,그릇
고급,0,그릇되다
중급,0,그리01
고급,0,그리02
초급,0,그리고
고급,0,그리다01
초급,0,그리다02
중급,0,그리움
고급,0,그리하여
초급,0,그림
중급,0,그림자
중급,0,그림책
초급,0,그립다
초급,0,그만02
초급,0,그만두다
중급,0,그만큼01/그만큼02
중급,0,그만하다01
고급,0,그물
초급,0,그분
중급,0,그야말로
고급,0,그윽하다
중급,0,그저
초급,0,그저께02/그저께01
중급,0,그제01/그제02
중급,0,그제야
중급,0,그중
고급,0,그지없다
초급,0,그쪽
초급,0,그치다
중급,0,그토록
고급,0,극-
고급,0,극01
고급,0,극단적01/극단적02
고급,0,극대화
고급,0,극도
중급,0,극복
고급,0,극성
고급,0,극소수
고급,0,극심하다
초급,0,극장
고급,0,극적01/극적02
중급,0,극히
고급,0,근02
고급,0,근간03
중급,0,근거
고급,0,근검절약
중급,0,근교
중급,0,근대
중급,0,근데
중급,0,근래
고급,0,근력
고급,0,근로
중급,0,근로자
고급,0,근면
중급,0,근무
중급,0,근본
중급,0,근본적01/근본적02
고급,0,근사하다
고급,0,근시안
중급,0,근심
고급,0,근원
중급,0,근육
초급,0,근처
고급,0,근황
초급,0,글
초급,0,글쎄
초급,0,글쎄요
고급,0,글쓴이
초급,0,글씨
초급,0,글자
중급,0,긁다
고급,0,금01
중급,0,금02
중급,0,금03
고급,0,금기
중급,0,금년
고급,0,금리
고급,0,금메달
초급,0,금방
고급,0,금상첨화
고급,0,금세
고급,0,금속
고급,0,금시초문
중급,0,금액
중급,0,금연
초급,0,금요일
중급,0,금융
고급,0,금융업
고급,0,금의환향
고급,0,금전
초급,0,금지
고급,0,금지옥엽
중급,0,금하다
고급,0,급02
고급,0,급격하다
중급,0,급격히
고급,0,급급하다
고급,0,급기야
고급,0,급등
고급,0,급락
고급,0,급류
고급,0,급변
고급,0,급상승
고급,0,급성
고급,0,급속
고급,0,급속도
중급,0,급속히
고급,0,급식
고급,0,급여
중급,0,급증
초급,0,급하다
중급,0,급히
중급,0,긋다01
고급,0,긍정
중급,0,긍정적01/긍정적02
고급,0,긍지
고급,0,기01
고급,0,기03
고급,0,기04
고급,0,-기05
중급,0,-기07
초급,0,기간02
중급,0,기계
고급,0,기고
중급,0,기관
고급,0,기관00
고급,0,기관지
고급,0,기교
중급,0,기구01
고급,0,기구02
고급,0,기권
고급,0,기금
고급,0,기기01
고급,0,기꺼이
고급,0,기껏
고급,0,기내
중급,0,기념
중급,0,기념일
중급,0,기념품
고급,0,기념회
중급,0,기능02
고급,0,기능적01/기능적02
중급,0,기다
초급,0,기다리다
중급,0,기대
고급,0,기대감
중급,0,기대다01
고급,0,기도01
중급,0,기도02
중급,0,기독교
중급,0,기둥
고급,0,기량
고급,0,기력
중급,0,기록
고급,0,기류
초급,0,기르다
초급,0,기름
고급,0,기름기
고급,0,기름지다
고급,0,기리다
고급,0,기린
고급,0,기립
고급,0,기막히다
고급,0,기만
고급,0,기말
중급,0,기말시험
고급,0,기묘하다
고급,0,기미02
중급,0,기반
고급,0,기발하다
고급,0,기법
중급,0,기본
중급,0,기본적01/기본적02
중급,0,기부
고급,0,기부금
초급,0,기분
초급,0,기뻐하다
초급,0,기쁘다
초급,0,기쁨
중급,0,기사01
중급,0,기사02
고급,0,기상01
고급,0,기상청
고급,0,기색
고급,0,기성세대
고급,0,기세
초급,0,기숙사
중급,0,기술01
고급,0,기술02
중급,0,기술자
고급,0,기술적01/기술적02
고급,0,기습
고급,0,기아
고급,0,기압
고급,0,기약
고급,0,기어가다
고급,0,기어들다
고급,0,기어오르다
고급,0,기어이
고급,0,기어코
초급,0,기억
초급,0,기억나다
중급,0,기억력
중급,0,기업
중급,0,기업가
고급,0,기업체
중급,0,기여
초급,0,기온
고급,0,기와집
중급,0,기운01
중급,0,기울다
중급,0,기울이다
고급,0,기웃거리다
고급,0,기원01
중급,0,기원02
고급,0,기원전
고급,0,기원후
고급,0,기이하다
고급,0,기인하다
고급,0,기일02
초급,0,기자
고급,0,기저귀
중급,0,기적
고급,0,기절
고급,0,기점
중급,0,기존
중급,0,기준
고급,0,기증
중급,0,기지개
고급,0,기질
초급,0,기차
초급,0,기차역
초급,0,기차표
고급,0,기체01
중급,0,기초
초급,0,기침
중급,0,기타01
초급,0,기타02
고급,0,기특하다
고급,0,기틀
고급,0,기품01
고급,0,기피
고급,0,기필코
고급,0,기하다
고급,0,기한
고급,0,기행02
고급,0,기행문
고급,0,기호01
고급,0,기호02
고급,0,기호품
중급,0,기혼
초급,0,기회
중급,0,기획
중급,0,기후
중급,0,긴급
고급,0,긴밀하다
초급,0,긴장
고급,0,긴장감
중급,0,긴팔
초급,0,길01
중급,0,길가
중급,0,길거리
중급,0,길다01
초급,0,길다02
고급,0,길들이다
초급,0,길이01
고급,0,길쭉하다
중급,0,김01
초급,0,김02
초급,0,김밥
고급,0,김장
초급,0,김치
초급,0,김치찌개
